@@,name,party,constituency
->,"Yepthomi, Shri Tokheho->Tokheho Yepthomi",Nationalist Democratic Progressive Party,Nagaland
->,Y. S. Avinash Reddy,Yuvajana Sramika Rythu Congress Party,Kadapa->kadapa
->,Vivek Shejwalkar->Vivek Narayan Shejwalkar,Bharatiya Janata Party,Gwalior
->,Virendra Kumar Khatik->Virendra Kumar,Bharatiya Janata Party,Tikamgarh
->,Vinodbhai Chavda->Vinod Chavda,Bharatiya Janata Party,Kachchh
->,Vincent Pala->Vincent H. Pala,Indian National Congress,Shillong
->,Vinayak Raut->Vinayak Bhaurao Raut,Shiv Sena,Ratnagiri-Sindhudurg
->,Vijay Kumar Singh->Vijay Kumar Singh General (Retd.),Bharatiya Janata Party,Ghaziabad
->,Vijay Kumar Manjhi->Vijay Kumar,Janata Dal (United),Gaya
->,Venkatesh Netha Borlakunta,Telangana Rashtra Samithi,Peddapalli->Peddapalle
->,Vasava Parbhubhai Nagarbhai->Prabhubhai Nagarbhai Vasava,Bharatiya Janata Party,Bardoli
->,Varun Gandhi->Feroze Varun Gandhi,Bharatiya Janata Party,Pilibhit
->,Vanga Geetha->Geetha Viswanath Vanga,Yuvajana Sramika Rythu Congress Party,Kakinada
->,V.K Sreekandan->V.K. Sreekandan,Indian National Congress,Palakkad
->,V. Vaithilingam->Vaithilingam Ve.,Indian National Congress,Puducherry
->,V. D. Sharma->Vishnu Datt Sharma,Bharatiya Janata Party,Khajuraho
->,Unmesh Patil->Unmesh Bhaiyyasaheb Patil,Bharatiya Janata Party,Jalgaon
->,Umesh. G. Jadhav->Umesh G. Jadhav,Bharatiya Janata Party,Gulbarga
->,Udayanraje Bhosale->Shriniwas Dadasaheb Patil,Nationalist Congress Party,Satara
->,Thol. Thirumavalavan->Tholkappiyan Thirumaavalavan,Viduthalai Chiruthaigal Katchi,Chidambaram
->,Thamizhachi Thangapandian->T. Sumathy (A) Thamizhachi Thangapandian,Dravida Munnetra Kazhagam,Chennai South
->,Tejasvi Surya->L.S. Tejasvi Surya,Bharatiya Janata Party,Bangalore South
->,Talari Rangaiah,Yuvajana Sramika Rythu Congress Party,Anantapuramu->Anantapur
->,T. R. Pachamuthu->T. R. Paarivendhar,Indhiya Jananayaga Katchi->Dravida Munnetra Kazhagam,Perambalur
->,T. R. Baalu->Thalikkottai Rajuthevar Baalu,Dravida Munnetra Kazhagam,Sriperumbudur
->,T. N. Prathapan->T.N. Prathapan,Indian National Congress,Thrissur
->,Surinderjeet Singh Ahluwalia->S.S. Ahluwalia,Bharatiya Janata Party,Bardhaman-Durgapur
->,Suresh Pujari->Suresh Kumar Pujari,Bharatiya Janata Party,Bargarh
->,Suresh Dhanorkar->Balubhau Narayanrao (Alias Suresh) Dhanorkar,Indian National Congress,Chandrapur
->,Supriya Sule->Supriya Sadanand Sule,Nationalist Congress Party,Baramati
->,Sunil Tatkare->Sunil Dattatray Tatkare,Nationalist Congress Party,Raigad
->,Sunil Kumar Mandal->Sunil Kumar Mondal,All India Trinamool Congress,Bardhaman Purba
->,Sumalata->Sumalatha Ambareesh,Independent,Mandya
->,Sukhbir Singh Badal,Shiromani Akali Dal,Firozepur->Ferozpur
->,Sujay Vikhe Patil->Sujay Radhakrishna Vikhepatil,Bharatiya Janata Party,Ahmednagar
->,Subhash Bhamre->Subhash Ramrao Bhamre,Bharatiya Janata Party,Dhule
->,Subhas Kumar Sarkar->Subhas Sarkar,Bharatiya Janata Party,Bankura
->,Su Thirunavukkarasar->Su. Thirunavukkarasar,Indian National Congress,Tiruchirappalli
->,Som Prakash->Som Parkash,Bharatiya Janata Party,Hoshiarpur
->,Smriti Irani->Smriti Zubin Irani,Bharatiya Janata Party,Amethi
->,Sisir Adhikari->Sisir Kumar Adhikari,All India Trinamool Congress,Kanthi
->,Shrirang Barne->Shrirang Appa Barne,Shiv Sena,Maval
->,Shripad Yasso Naik->Shripad Yesso Naik,Bharatiya Janata Party,North Goa
->,Shrikant Shinde->Shrikant Eknath Shinde,Shiv Sena,Kalyan
->,Shobha Karandlaje->Km. Shobha Karandlaje,Bharatiya Janata Party,Udupi Chikmagalur
->,Shardaben Patel->Sharda Anilkumar Patel,Bharatiya Janata Party,Mahesana
->,Sayed Imtiyaz Jaleel->Syed Imtiaz Jaleel,All India Majlis-E-Ittehadul Muslimeen,Aurangabad
->,Saumitra Khan->Khan Saumitra,Bharatiya Janata Party,Bishnupur
->,Saugata Roy->Prof. Sougata Ray,All India Trinamool Congress,Dum Dum
->,Satyapal Singh->Satya Pal Singh,Bharatiya Janata Party,Baghpat
->,Satabdi Roy->Satabdi Roy (Banerjee),All India Trinamool Congress,Birbhum
->,Sarmistha Sethi->Sarmistha Kumari Sethi,Biju Janata Dal,Jajpur
->,Saptagiri Shankar Ulaka->Saptagiri Sankar Ulaka,Indian National Congress,Koraput
->,Santosh Gangwar->Santosh Kumar Gangwar,Bharatiya Janata Party,Bareilly
->,Sanjeev Kumar->Sanjeev Kumar Singari,Yuvajana Sramika Rythu Congress Party,Kurnool
